lon,lat,weather_id,weather_main,weather_description,weather_icon,base,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,clouds_all,sys_type,sys_id,city,country,sunrise,sunset,record_time,city_id,cod
160.7034,-8.7676,802,Clouds,scattered clouds,03d,stations,78.84,78.84,78.84,78.84,1012,87,1012,995,10000,1.57,90,47,,,Auki,SB,2024-08-14 08:27:35+00:00,2024-08-14 20:16:25+00:00,2024-08-14 10:13:37+00:00,2109701,200
18.4232,-33.9258,804,Clouds,overcast clouds,04n,stations,52.45,51.06,51.28,53.11,1020,78,1020,1019,10000,2.24,225,100,2.0,2073005.0,Cape Town,ZA,2024-08-13 09:27:15+00:00,2024-08-13 20:15:12+00:00,2024-08-14 01:08:58+00:00,3369157,200
28.0436,-26.2023,803,Clouds,broken clouds,04n,stations,55.69,53.82,53.83,57.97,1016,61,1016,828,10000,4.02,331,57,2.0,2005686.0,Johannesburg,ZA,2024-08-13 08:38:16+00:00,2024-08-13 19:47:14+00:00,2024-08-14 01:11:47+00:00,993800,200
31.0292,-29.8579,804,Clouds,overcast clouds,04n,stations,69.12,68.07,69.12,69.12,1004,50,1004,1003,10000,3.29,321,100,,,Durban,ZA,2024-08-13 08:31:07+00:00,2024-08-13 19:30:30+00:00,2024-08-14 01:10:06+00:00,1007311,200
-3.7026,40.4165,800,Clear,clear sky,01n,stations,76.93,76.33,74.01,78.22,1010,43,1010,937,10000,5.66,310,0,2.0,2007545.0,Madrid,ES,2024-08-13 09:24:05+00:00,2024-08-13 23:15:21+00:00,2024-08-14 01:05:11+00:00,3117735,200
2.159,41.3888,801,Clouds,few clouds,02n,stations,81.07,83.3,78.55,82.69,1009,61,1009,1001,10000,1.54,190,20,2.0,18549.0,Barcelona,ES,2024-08-13 08:58:44+00:00,2024-08-13 22:53:49+00:00,2024-08-14 01:06:22+00:00,3128760,200
-0.8333,39.3333,804,Clouds,overcast clouds,04n,stations,74.35,75.16,73.4,77.07,1010,78,1010,952,10000,0.95,103,93,2.0,2091336.0,Valencia,ES,2024-08-13 09:14:38+00:00,2024-08-13 23:01:51+00:00,2024-08-14 01:11:16+00:00,2509951,200
-55.1667,5.8667,801,Clouds,few clouds,02d,stations,91.31,96.64,91.31,91.45,1012,49,1012,1011,10000,3.6,90,20,1.0,8646.0,Distrikt Paramaribo,SR,2024-08-13 08:36:01+00:00,2024-08-13 20:55:05+00:00,2024-08-13 20:13:48+00:00,3383329,200
-56.9833,5.95,804,Clouds,overcast clouds,04d,stations,82.62,88.39,82.62,82.62,1012,73,1012,1011,10000,5.46,40,92,,,Nieuw Nickerie,SR,2024-08-13 08:43:12+00:00,2024-08-13 21:02:26+00:00,2024-08-13 20:13:50+00:00,3383427,200
-54.05,5.5,802,Clouds,scattered clouds,03d,stations,82.98,87.3,82.98,82.98,1012,66,1012,1008,10000,3.08,52,35,,,Albina,SR,2024-08-13 08:31:56+00:00,2024-08-13 20:50:14+00:00,2024-08-13 20:13:51+00:00,3384792,200
18.0649,59.3326,804,Clouds,overcast clouds,04n,stations,63.28,62.89,60.66,64.85,1017,76,1017,1012,10000,1.54,200,100,1.0,1788.0,Stockholm,SE,2024-08-13 07:01:17+00:00,2024-08-13 22:44:02+00:00,2024-08-14 01:10:51+00:00,2673730,200
11.9668,57.7072,800,Clear,clear sky,01n,stations,63.27,62.82,61.45,66.11,1014,75,1014,1009,10000,4.12,160,0,2.0,2002867.0,Gothenburg,SE,2024-08-13 07:33:00+00:00,2024-08-13 23:01:06+00:00,2024-08-14 01:11:22+00:00,2711537,200
13.0007,55.6059,804,Clouds,overcast clouds,04n,stations,63.9,63.28,60.3,65.1,1015,70,1015,1014,10000,6.47,105,96,1.0,1575.0,Malmo,SE,2024-08-13 07:37:13+00:00,2024-08-13 22:48:37+00:00,2024-08-14 01:10:39+00:00,2692969,200
8.55,47.3667,801,Clouds,few clouds,02n,stations,73.49,74.21,70.16,75.36,1010,78,1010,953,10000,1.54,0,20,2.0,2004824.0,Zurich,CH,2024-08-13 08:19:57+00:00,2024-08-13 22:41:29+00:00,2024-08-14 01:06:52+00:00,2657896,200
-88.3054,41.8875,804,Clouds,overcast clouds,04d,stations,82.72,83.57,80.33,84.99,1018,50,1018,991,10000,2.57,280,100,2.0,2020346.0,Geneva,US,2024-08-13 07:59:51+00:00,2024-08-13 21:56:19+00:00,2024-08-13 18:04:15+00:00,4893591,200
7.4474,46.9481,202,Thunderstorm,thunderstorm with heavy rain,11n,stations,68.38,68.49,66.11,74.16,1010,76,1010,940,10000,3.13,105,75,1.0,6937.0,Bern,CH,2024-08-13 08:25:24+00:00,2024-08-13 22:44:51+00:00,2024-08-14 01:10:02+00:00,2661552,200
35.7395,-6.1722,800,Clear,clear sky,01n,stations,68.67,67.5,68.67,68.67,1015,48,1015,892,10000,3.79,90,1,,,Dodoma,TZ,2024-08-14 08:44:39+00:00,2024-08-14 20:38:57+00:00,2024-08-14 02:09:31+00:00,160196,200
39.2695,-6.8235,800,Clear,clear sky,01n,stations,74.14,75.25,74.14,74.14,1015,85,1015,1013,10000,3.01,116,0,,,Dar es Salaam,TZ,2024-08-14 08:31:12+00:00,2024-08-14 20:24:09+00:00,2024-08-14 02:09:30+00:00,160263,200
36.6833,-3.3667,801,Clouds,few clouds,02n,stations,61.57,60.53,61.57,61.57,1017,66,1017,863,10000,2.91,93,11,,,Arusha,TZ,2024-08-14 08:38:01+00:00,2024-08-14 20:38:02+00:00,2024-08-14 02:14:06+00:00,161325,200
100.5167,13.75,803,Clouds,broken clouds,04n,stations,80.83,89.28,80.49,82.29,1006,96,1006,1006,10000,0.59,283,78,2.0,2032756.0,Bangkok,TH,2024-08-14 08:04:52+00:00,2024-08-14 20:40:34+00:00,2024-08-14 06:09:25+00:00,1609350,200
99.0,18.75,801,Clouds,few clouds,02n,stations,76.95,78.85,76.39,79.34,1008,96,1008,964,10000,1.03,0,20,1.0,9244.0,Chiang Mai,TH,2024-08-14 08:05:17+00:00,2024-08-14 20:52:18+00:00,2024-08-14 06:09:43+00:00,1153670,200
100.8833,12.9333,804,Clouds,overcast clouds,04n,stations,78.21,79.72,76.17,83.95,1006,85,1006,1002,10000,3.04,178,100,2.0,2021751.0,Pattaya,TH,2024-08-14 08:04:17+00:00,2024-08-14 20:38:13+00:00,2024-08-14 06:09:57+00:00,1614295,200
-173.9833,-18.65,801,Clouds,few clouds,02n,stations,74.08,74.01,74.08,74.08,1020,60,1020,1018,10000,4.12,160,20,1.0,7292.0,Neiafu,TO,2024-08-15 08:56:23+00:00,2024-08-15 20:24:47+00:00,2024-08-14 12:14:14+00:00,4032420,200
-61.5166,10.6662,804,Clouds,overcast clouds,04d,stations,86.86,99.23,86.86,86.86,1012,74,1012,1004,10000,2.88,182,100,2.0,2039873.0,Port of Spain,TT,2024-08-13 07:56:18+00:00,2024-08-13 20:25:36+00:00,2024-08-13 19:14:18+00:00,3573890,200
120.6898,15.0286,804,Clouds,overcast clouds,04n,stations,78.22,79.97,78.22,78.22,1009,90,1009,1002,10000,0.35,18,100,,,San Fernando,PH,2024-08-14 07:42:45+00:00,2024-08-14 20:21:20+00:00,2024-08-14 07:14:20+00:00,1690039,200
-0.4044,54.2797,804,Clouds,overcast clouds,04n,stations,64.94,64.8,62.65,66.65,1009,78,1009,1001,10000,0.89,322,100,2.0,2005986.0,Scarborough,GB,2024-08-13 07:35:40+00:00,2024-08-13 22:37:24+00:00,2024-08-14 00:14:21+00:00,2638419,200
-0.1257,51.5085,801,Clouds,few clouds,02n,stations,67.14,66.88,63.12,69.64,1010,71,1010,1006,10000,4.12,220,19,2.0,2075535.0,London,GB,2024-08-13 07:43:26+00:00,2024-08-13 22:27:23+00:00,2024-08-14 00:07:29+00:00,2643743,200
-86.8025,33.5207,803,Clouds,broken clouds,04d,stations,92.32,98.65,89.94,94.89,1015,49,1015,992,10000,2.57,0,75,1.0,3436.0,Birmingham,US,2024-08-13 08:08:33+00:00,2024-08-13 21:35:36+00:00,2024-08-13 18:04:42+00:00,4049979,200
-2.2374,53.4809,500,Rain,light rain,10n,stations,61.14,61.32,59.76,62.55,1010,93,1010,1000,10000,2.57,290,75,2.0,2013239.0,Manchester,GB,2024-08-13 07:45:42+00:00,2024-08-13 22:42:01+00:00,2024-08-14 00:12:00+00:00,2643123,200
-74.006,40.7143,802,Clouds,scattered clouds,03d,stations,81.23,81.03,78.58,83.97,1015,42,1015,1013,10000,4.12,320,40,1.0,4610.0,New York,US,2024-08-13 08:04:55+00:00,2024-08-13 21:56:53+00:00,2024-08-13 19:10:08+00:00,5128581,200
-118.2437,34.0522,800,Clear,clear sky,01d,stations,87.76,91.38,77.45,95.32,1012,52,1012,993,10000,5.14,270,0,2.0,2075946.0,Los Angeles,US,2024-08-13 08:13:33+00:00,2024-08-13 21:42:07+00:00,2024-08-13 16:14:29+00:00,5368361,200
-87.65,41.85,802,Clouds,scattered clouds,03d,stations,82.06,82.26,79.38,85.69,1018,46,1018,997,10000,2.57,0,40,2.0,2010190.0,Chicago,US,2024-08-13 07:57:18+00:00,2024-08-13 21:53:38+00:00,2024-08-13 18:11:17+00:00,4887398,200
168.3219,-17.7338,803,Clouds,broken clouds,04d,stations,74.8,75.42,74.8,74.8,1019,73,1019,1011,10000,6.17,110,75,1.0,7314.0,Port-Vila,VU,2024-08-14 08:06:43+00:00,2024-08-14 19:36:20+00:00,2024-08-14 10:14:32+00:00,2135171,200
167.1667,-15.5333,804,Clouds,overcast clouds,04d,stations,76.73,77.49,76.73,76.73,1018,72,1018,1007,10000,7.02,99,100,,,Luganville,VU,2024-08-14 08:08:55+00:00,2024-08-14 19:43:23+00:00,2024-08-14 10:14:34+00:00,2136150,200
-80.0007,-3.2709,804,Clouds,overcast clouds,04d,stations,73.35,74.05,73.35,73.35,1010,78,1010,1010,10000,1.54,320,100,1.0,8539.0,ESPIRITU SANTO,EC,2024-08-13 08:24:49+00:00,2024-08-13 20:24:56+00:00,2024-08-13 18:14:35+00:00,3654533,200
31.0539,-17.8294,800,Clear,clear sky,01n,stations,58.86,56.61,58.86,58.86,1020,46,1020,858,10000,3.46,62,0,,,Harare,ZW,2024-08-13 08:16:16+00:00,2024-08-13 19:45:09+00:00,2024-08-14 01:14:37+00:00,890299,200
28.5833,-20.15,800,Clear,clear sky,01n,stations,61.43,58.73,61.43,61.43,1019,31,1019,871,10000,1.92,104,0,,,Bulawayo,ZW,2024-08-13 08:28:48+00:00,2024-08-13 19:52:23+00:00,2024-08-14 01:14:06+00:00,894701,200
32.6709,-18.9707,800,Clear,clear sky,01n,stations,57.22,55.69,57.22,57.22,1020,65,1020,895,10000,1.15,21,0,,,Mutare,ZW,2024-08-13 08:11:06+00:00,2024-08-13 19:37:23+00:00,2024-08-14 01:14:40+00:00,884979,200
